<1>	Sabado, Agosto 20, 2016	Saturday, August 20, 2016
<31>	Mas madali ang magnakaw.	it is easier to steal.
<32>	Mas madali ang mandaya.	it is easier to cheat.
<33>	Mas madali ang magsinunaling.	it is easier to lie.
<34>	Mas madali ang mangaliwa kaysa maging tapat sa asawa.	it is easier to cheat than be faithful to your spouse.
<35>	Mas madali ang gumawa ng kasalanan kaysa kabutihan.	it is easier to commit a sin than do good.
<36>	Mas masarap ang alok ng pintuang maluwag.	the offer of the convenient door is more inviting
<37>	Walang hirap.	no hardship.
<38>	Walang pasakit.	no suffering.
<39>	Ngunit alam din natin ang patutunguhan ng pintuang maluwag... walang hanggang kapahamakan!	but we also know where the convenient door leads never ending danger!
<40>	Maging matalinong Kristiyano tayo.	let us be wise Christians.
<41>	Ngayong Taon ng Awa ay palakasin natin ang ating paniniwala na may Diyos ng Habag na patuloy na nagpapakita sa atin ng malasakit at pang-unawa.	this year of mercy let us strengthen our belief that there is a god of compassion who continuously shows us concern and understanding.
<42>	Alam niya ang pagnanais nating makapasok sa pintuan ng langit at batid niya ang kahinaan ng ating pagpapasya sa pagpili ng mabuti at masama... ng tama at mali!	he knows our desire to enter the door of heaven and he is aware of our weakness in deciding to choose good and bad of right and wrong!
<43>	May gantimpalang naghihintay sa atin kung magtitiwala tayo sa kabutihan ng Diyos na hindi Niya tayo pababayaan sa ating pagsisikap dahil mahal Niya tayo.	there is a reward waiting for us if we trust in the goodness of god that he will not neglect us in our effort because he loves us.
<44>	May "langit" tayong mararating kung magsisikap tayong sumunod sa kanyang kalooban, magtitiyaga at mapagkumbaba nating susundin ang Kanyang mga utos.	there is a "heaven" we can reach if we endeavor to follow his will, persevere and be humble as we follow his commandments.
<45>	Tandaan mo... isa lang ang daang patungo kay Kristo... at ang hahantungan mo ay nakasalalay sa pintuang pipiliin mo.	remember there is only one way to Christ and where you end up depends on the door you will choose.
