query100	garlic,pepper:Lifestyle
query1753	Riyadh:Government-And-Politics
query1757	controversial,question[syn:inquiry]:Lifestyle
query1758	canal[hyp:waterway]:Lifestyle
query1759	"youngest sister"[hyp:female]:Lifestyle
query1772	"capital punishment":Government-And-Politics
query1795	Romblon,ordinance+[syn:decree]:Lifestyle
query1810	"land reform":Government-And-Politics
query1833	seashore:Lifestyle
query1834	rag[syn:wiping cloth]:Government-And-Politics
query1839	octopus:Lifestyle
query188	Chinese,fisherman:Government-And-Politics
query1884	"provincial council",formal[syn:official]:Government-And-Politics
query1895	mastermind[syn:planner],syndicate[syn:gang]:Government-And-Politics
query1902	corruption,contractual:Government-And-Politics
query1905	adventure:Lifestyle
query1923	giggle[hyp:to laugh]:Government-And-Politics
query1938	fork[hyp:utensil]:Lifestyle
query1940	fireworks+,music:Government-And-Politics
query1959	dictionary:Lifestyle
query1963	culture[evf:arts and humanities],student:Government-And-Politics
query2043	"Filipino literature":Lifestyle
query2044	"bay leaf":Lifestyle
query2047	peacock:Lifestyle
query2049	math:Lifestyle
query2078	shark:Lifestyle
query2117	Chavacano:Lifestyle
query2194	"electric fan"+:Lifestyle
query2207	"livelihood assistance":Government-And-Politics
query2216	systematization:Government-And-Politics
query2260	leprosy+:Lifestyle
query2292	Imelda:Government-And-Politics
query2294	guava:Lifestyle
query2557	<fed>:Lifestyle
query2559	"Department of Health",<vaccinated>:Government-And-Politics
query2625	"snacking at work"+:Lifestyle
query2704	"jogging clothes"+:Lifestyle
query306	Palawan,program:Government-And-Politics
query307	"one hundred thousand pesos":Government-And-Politics
query3102	"Java plum":Lifestyle
query3107	paranoid:Government-And-Politics
query312	Tagalog,election:Government-And-Politics
query313	election,machine:Government-And-Politics
query3221	EXAMPLE_OF(dairy products):Government-And-Politics
query330	"uniformed police":Lifestyle
query3302	"salty egg":Lifestyle
query3306	napkin:Lifestyle
query332	"Barangay Mangingisda":Lifestyle
query3354	EXAMPLE_OF(crustacean):Government-And-Politics
query3356	EXAMPLE_OF(amphibian):Government-And-Politics
query336	"electricity shortage":Government-And-Politics
query337	"oil <companies>":Government-And-Politics
query338	"oil supply":Government-And-Politics
query339	oil,mining+:Government-And-Politics
query3408	"cocaine arrest"+:Government-And-Politics
query341	rain,wind:Government-And-Politics
query3422	"using condoms as balloons"+:Government-And-Politics
query345	infrastructure,program:Government-And-Politics
query355	crab:Government-And-Politics
query357	"my <classmates>":Lifestyle
query359	<buildings>:Government-And-Politics
query3598	"<drank> coffee":Government-And-Politics
query3613	"sardine food production"+:Government-And-Politics
query363	"president's spokesperson":Government-And-Politics
query366	elitist:Government-And-Politics
query368	"wet by rain":Government-And-Politics
query3753	"planting okra"+:Government-And-Politics
query3818	"you're like a frog":Lifestyle
query3821	"milking cows"+[evf:dairy]:Government-And-Politics
query3865	"polio vaccination"+:Government-And-Politics
query3891	EXAMPLE_OF(nonhuman primate):Government-And-Politics
query3895	EXAMPLE_OF(camelid):Government-And-Politics
query392	deployment:Government-And-Politics
query3968	"Eunice Samonte":Government-And-Politics
query3987	"ghost <projects>":Government-And-Politics
query405	airplane,Japanese:Government-And-Politics
query408	mermaid:Government-And-Politics
query410	"salary increase",EXAMPLE_OF(medical professional):Lifestyle
query4119	"cooking with pineapple"+:Lifestyle
query414	"terrorist group":Government-And-Politics
query416	salary,teacher:Lifestyle
query4181	Tago[hyp:name]:Government-And-Politics
query419	privatization,water:Government-And-Politics
query422	"societal change":Lifestyle
query427	music,dance:Lifestyle
query4273	<advisers>:Government-And-Politics
query4322	"sea turtle",fishing+:Government-And-Politics
query4326	"planting eggplant"+:Lifestyle
query4328	eggplant,"genetic engineering"+:Government-And-Politics
query433	Cebu,interview:Government-And-Politics
query4330	"cooking with asparagus"+:Lifestyle
query4332	"marketing goats"+[evf:buying or selling]:Lifestyle
query4335	"cooking gelatin"+:Lifestyle
query434	"tourism industry":Government-And-Politics
query4347	"night swimming"+:Lifestyle
query4349	"sardines with taro"+:Lifestyle
query435	"illegal mining":Government-And-Politics
query4363	EXAMPLE_OF(aquatic mammal):Government-And-Politics
query4365	firecracker,"factory fire"+:Government-And-Politics
query4373	"poorest <families>":Government-And-Politics
query439	vinegar:Lifestyle
query441	money,church:Government-And-Politics
query455	"national language":Lifestyle
query460	information,drug:Government-And-Politics
query461	"white shirt":Government-And-Politics
query464	"election results":Government-And-Politics
query471	"judicial system":Government-And-Politics
query481	"recycle trash":Government-And-Politics
query485	"cost of living allowance":Government-And-Politics
query494	"martial law victim":Government-And-Politics
query503	"many reasons":Government-And-Politics
query509	"water supply",EXAMPLE_OF(project):Government-And-Politics
query523	"until Sunday":Government-And-Politics
query525	song:Lifestyle
query527	Japanese,Spanish:Lifestyle
query528	"security threat":Government-And-Politics
query532	tweet:Lifestyle
query533	"their blood":Government-And-Politics
query540	Sulu:Government-And-Politics
query557	"crab mentality":Lifestyle
query559	"roast chicken":Lifestyle
query560	"chicken feet":Lifestyle
query561	"fighting cock":Lifestyle
query569	vegetables,planting+:Lifestyle
query573	"your neighbor":Lifestyle
query585	"fake government official"+:Government-And-Politics
query606	foil[hyp:sheet metal]:Lifestyle
query614	"their income":Government-And-Politics
query620	wall[evf:barrier]:Government-And-Politics
query661	Duterte,friendship:Government-And-Politics
query671	sewing+:Lifestyle
query673	"sufficient evidence":Government-And-Politics
query717	four[hyp:cardinal number],wheel:Lifestyle
query736	"beef broth":Lifestyle
query742	"war on drugs":Government-And-Politics
query747	"police dog":Government-And-Politics
query753	light[evf:weight]:Lifestyle
query754	"ice cream":Lifestyle
query756	"native language":Government-And-Politics
query771	pomelo:Lifestyle
query774	sole[evf:foot]:Lifestyle
query779	bedbug:Government-And-Politics
query781	"street children":Government-And-Politics
query788	duty,teacher:Lifestyle
query789	"no justice":Lifestyle
query790	"very rich":Lifestyle
query813	Lukban:Lifestyle
query822	apple[hyp:fruit]:Lifestyle
query825	"San Fernando","energy supply"+:Government-And-Politics
query830	"former President's birthday":Government-And-Politics
query834	"tall or short":Lifestyle
query869	"enemy of the <rats>":Lifestyle
query879	"cyber bully":Government-And-Politics
query880	cyber,crime+:Government-And-Politics
query881	"broken window":Government-And-Politics
query894	Masbate,election:Government-And-Politics
query904	fireman:Government-And-Politics
query922	chair[hyp:furniture],book:Lifestyle
query930	earring:Lifestyle
query933	"they are not sadists":Government-And-Politics
query936	EXAMPLE_OF(parts of plant)[evf:botany]:Lifestyle
query938	cassava:Lifestyle
query943	toothbrush:Lifestyle
query945	monkey[hyp:animal]:Lifestyle
query948	neck,tomorrow:Lifestyle
query953	wood,root:Lifestyle
query960	"light traffic":Lifestyle
query961	"traffic light":Lifestyle
query966	Christian,"die of hunger":Lifestyle
query969	"cross the street":Lifestyle
query971	dry,river:Lifestyle
query990	"banana leaf":Lifestyle
query991	adobo,beef:Lifestyle
