query_id	query_string	domain_id
query350	"anti-smoking campaign"	HEA
query3520	"wire tapping"+	MIL
query353	"other country"	LIF
query3601	Eric	GOV
query3602	"EXAMPLE_OF(body part) hit by shrapnel"	MIL
query3607	"Red Cross"	MIL
query3615	"dead <trees>"	MIL
query364	"beautiful climate"	GOV
query365	"Sanlakas group"	GOV
query367	umbrella	HEA
query3734	<tourists>	MIL
query3755	"Romel already <ate>"	MIL
query3826	"over three decades"[syn:more than three decades]	LIF
query3830	"yellow apparel"+	LIF
query3867	"H3N2 virus"	HEA
query3889	EXAMPLE_OF(pachyderm)	LIF
query3890	EXAMPLE_OF(nonhuman primate)	MIL
query390	embassy,Sunday	GOV
query391	work,"Saudi Arabia"	GOV
query3920	"subscribing in Youtube"+	MIL
query3921	<our pigs>	GOV
query393	patient,<nurses>	HEA
query404	"large <airplanes>"	GOV
query406	"Japanese war"	MIL
query407	"volcano explosion"	GOV
query4141	"<committed> suicide"	HEA
query415	"want to become a teacher"	LIF
query4152	"moringa benefits"+	HEA
query417	"daily wage"	LIF
query421	"red warrior"	GOV
query4231	<succeeded>	LIF
query4233	<defecated>	LIF
query4234	<applauded>	GOV
query424	"newly opened hospital"	GOV
query426	"new building"	GOV
query430	"kidney disease"	HEA
query432	"hepatitis B"	HEA
query436	"pushing drugs"	GOV
query4367	"grass fire"+	GOV
query4370	"largest <companies>"	GOV
query4437	<bags>[evf:packaging]	GOV
query446	rooster	LIF
query447	"clean toilet"	GOV
query4475	city,<territories>	MIL
query448	"price of sugar"	GOV
query4483	<monkeys>	GOV
query4495	fork,"washing dishes"+	LIF
query4500	Mindanao,kidnapping+[syn:hostage taking]	MIL
query4504	<hostages>[syn:captives]	MIL
query457	"Abu Sayyaf"	MIL
query4613	"murder of a nephew"+	MIL
query465	"traffic law"	GOV
query466	symptom,cough	HEA
query467	growth+,armpit	HEA
query469	fever,sweat	HEA
query4739	Dubai,contraband+	GOV
query4753	"urinating in the guava trees"+	LIF
query4773	Manila,"papal visit"+	GOV
query4783	Korea,"eating dogs[syn:canine]"+	GOV
query4800	"pricked with a broom"+	LIF
query4874	Jolo,kidnapping+	GOV
query4875	Basilan,"soldier death"+	GOV
query4877	Palawan,"atrocities by American soldiers"+	GOV
query4878	Mindoro,"soldier rape"+	GOV
query4880	Lamitan,exodus+	GOV
query4881	Lamitan,"fleeing for safety"+	MIL
query4884	EXAMPLE_OF(suid)[evf:animal]	MIL
query4888	"kidnapping of tourists"+	GOV
query4889	Digong,carnapping+	GOV
query4892	"Tausug food"+	LIF
query4902	water,EXAMPLE_OF(metal)	GOV
query4906	"not wearing a bra"+	LIF
query4911	"wearing green"+	LIF
query492	"president term of office"	GOV
query4977	Kidapawan,"escaped prisoners"+	MIL
query4982	<allies>	MIL
query4984	"wearing black"+	GOV
query4995	video,"Japanese art"+	LIF
query4996	"cooking with potatoes"+	LIF
query4998	"calling Filipinos monkeys"+	GOV
query5002	"buying sheep"+	LIF
query5005	"Middle East","abuse of employees"+	LIF
query5009	<slaves>	GOV
query5021	"carbon mining"+	GOV
query5023	"wrapping with banana leaves"+	LIF
query5025	"donating blood"+	GOV
query5047	"claw of EXAMPLE_OF(disease)"	GOV
query5053	"transplanting flowers"+	LIF
query508	"extra income"	GOV
query512	"air quality"	GOV
query522	"key to success"	LIF
query5244	"searching with Google"+	LIF
query541	finger	LIF
query543	"red flag"	GOV
query551	"excessive food"	HEA
query570	"new law"	HEA
query582	"local government",tax	GOV
query583	spread[syn:diffuse],EXAMPLE_OF(disease)	HEA
query589	oil,poor	GOV
query592	perfume+,cold[evf:virus]	HEA
query597	"water container"	HEA
query600	river,tree	LIF
query607	"traffic problem"	GOV
query609	night,study	LIF
query619	"what happened"	GOV
query625	"American soldier"	MIL
query635	"native citizen"	MIL
query638	"armed citizen"	MIL
query649	"security threat"	MIL
query653	"civilian family"	MIL
query679	project+[syn:plan],fund	MIL
query681	soldier+[syn:military person],training	MIL
query704	liberalization	GOV
query715	chayote	LIF
query722	release,word	LIF
query731	militant,worker	MIL
query740	pumpkin	LIF
query746	"national hero"	MIL
query749	"dog bite"	HEA
query75	"banana tree"	LIF
query757	"foreign company[syn:firm]"	MIL
query763	ginger[hyp:rootcrop]	LIF
query766	"blood sugar"	HEA
query77	"street dog"	HEA
query772	Thailand,demonstrator	MIL
query776	shoes,expensive	LIF
query780	candidate,government	MIL
query783	garlic,tomato	LIF
query794	blessing,God	LIF
query81	"Communist star"	MIL
query82	"cooking with garlic"+	LIF
query83	"punishing with salt"+	LIF
query833	Laos[hyp:country]	GOV
query835	Superman	LIF
query836	draft[evf:document]	GOV
query839	"three months"	LIF
query84	foreign,monopoly	GOV
query843	Singapore,candy	GOV
query849	"cook the meat well"	HEA
query862	"simple living"	LIF
query870	"enemy of the <farmers>"	GOV
query871	"circle of friends"	LIF
query88	"free trade"	MIL
query882	"delicious puto"	LIF
query901	"their music"	LIF
query91	cigarette,peanut	LIF
query911	"buy sand"	LIF
query912	"black sand"	GOV
query917	muscle,pain+	HEA
query919	"enough sleep"	HEA
query921	"right time to bathe"	HEA
query93	"Chinese navy"	GOV
query935	"sweet potato"	LIF
query937	taro,lazy	LIF
query939	pearl[hyp:gem]	LIF
query954	wing[evf:bird]	GOV
query955	"Chinese new year"	LIF
query964	"our cousin"	LIF
query97	<orphaned>	MIL
query983	"coast guard",ship[syn:vessel]	MIL
query985	combat,readiness	MIL
query987	understanding,emotion	GOV
query99	bread,corn	GOV
